Indicador,Nombre,Descripción,Periodicidad,,
865,"Producto Interno Bruto a precios de mercado, percápita","Producto Interno Bruto a precios de mercado, percápita",Anual,,
2663,"Impuestos menos subvenciones sobre los productos, nominal","Impuestos menos subvenciones sobre los productos, nominal",Anual,,
2666,"Producto Interno Bruto a precios básicos, nominal","Producto Interno Bruto a precios básicos, nominal",Anual,,
2734,"Impuestos menos subvenciones sobre los productos, nominal","Impuestos menos subvenciones sobre los productos, nominal",Anual,,
2739,"Producto Interno Bruto a precios básicos, nominal","Producto Interno Bruto a precios básicos, nominal",Anual,,
2779,"Producto Interno Bruto y Gasto a precios de mercado, nominal","Producto Interno Bruto y Gasto a precios de mercado, nominal",Anual,,
2780,"Producto Interno Bruto y Gasto a precios de mercado, nominal","Producto Interno Bruto y Gasto a precios de mercado, nominal",Anual,,
19463,"Producto Interno Bruto a precios de mercado, percápita","Producto Interno Bruto a precios de mercado, percápita",Anual,,
814,"Producto Interno Bruto a precios básicos, nominal","Producto Interno Bruto a precios básicos, nominal",Anual,,
815,"Agricultura, silvicultura y pesca, nominal","Agricultura, silvicultura y pesca, nominal",Anual,,
816,"Extracción de minas y canteras, nominal","Extracción de minas y canteras, nominal",Anual,,
818,"Construcción, nominal","Construcción, nominal",Anual,,
819,"Electricidad y agua, nominal","Electricidad y agua, nominal",Anual,,
820,"Comercio, restaurantes y hoteles, nominal","Comercio, restaurantes y hoteles, nominal",Anual,,
821,"Transporte, almacenaje y comunicaciones, nominal","Transporte, almacenaje y comunicaciones, nominal",Anual,,
822,"Servicios financieros y seguros, nominal","Servicios financieros y seguros, nominal",Anual,,
823,"Actividades inmobiliarias, nominal","Actividades inmobiliarias, nominal",Anual,,
824,"Otros servicios prestados a empresas, nominal","Otros servicios prestados a empresas, nominal",Anual,,
825,"Servicios de administración pública, nominal","Servicios de administración pública, nominal",Anual,,
826,"Servicios comunales, sociales y personales, nominal","Servicios comunales, sociales y personales, nominal",Anual,,
827,Servicios de intermediación financiera medidos indirectament,"Servicios de intermediación financiera medidos indirectamente, nominal",Anual,,
2667,"Agricultura, silvicultura y pesca, nominal","Agricultura, silvicultura y pesca, nominal",Anual,,
2668,"Extracción de minas y canteras, nominal","Extracción de minas y canteras, nominal",Anual,,
2669,"Industria manufacturera, nominal","Industria manufacturera, nominal",Anual,,
2671,"Construcción, nominal","Construcción, nominal",Anual,,
2672,"Electricidad y agua, nominal","Electricidad y agua, nominal",Anual,,
2673,"Comercio, restaurantes y hoteles, nominal","Comercio, restaurantes y hoteles, nominal",Anual,,
2674,"Transporte, almacenaje y comunicaciones, nominal","Transporte, almacenaje y comunicaciones, nominal",Anual,,
2675,"Servicios financieros y seguros, nominal","Servicios financieros y seguros, nominal",Anual,,
2676,"Actividades inmobiliarias, nominal","Actividades inmobiliarias, nominal",Anual,,
2677,"Otros servicios prestados a empresas, nominal","Otros servicios prestados a empresas, nominal",Anual,,
2678,"Servicios de administración pública, nominal","Servicios de administración pública, nominal",Anual,,
2679,"Servicios comunales, sociales y personales, nominal","Servicios comunales, sociales y personales, nominal",Anual,,
2680,Servicios de intermediación financiera medidos indirectament,"Servicios de intermediación financiera medidos indirectamente, nominal",Anual,,
2740,"Agricultura, silvicultura y pesca, nominal","Agricultura, silvicultura y pesca, nominal",Anual,,
2741,"Extracción de minas y canteras, nominal","Extracción de minas y canteras, nominal",Anual,,
2742,"Industria manufacturera, nominal","Industria manufacturera, nominal",Anual,,
2743,"Construcción, nominal","Construcción, nominal",Anual,,
2744,"Electricidad y agua, nominal","Electricidad y agua, nominal",Anual,,
2745,"Comercio, restaurantes y hoteles, nominal","Comercio, restaurantes y hoteles, nominal",Anual,,
2746,"Transporte, almacenaje y comunicaciones, nominal","Transporte, almacenaje y comunicaciones, nominal",Anual,,
2747,"Servicios financieros y seguros, nominal","Servicios financieros y seguros, nominal",Anual,,
2748,"Actividades inmobiliarias, nominal","Actividades inmobiliarias, nominal",Anual,,
2749,"Otros servicios prestados a empresas, nominal","Otros servicios prestados a empresas, nominal",Anual,,
2750,"Servicios de administración pública, nominal","Servicios de administración pública, nominal",Anual,,
2751,"Servicios comunales, sociales y personales, nominal","Servicios comunales, sociales y personales, nominal",Anual,,
2752,Servicios de intermediación financiera medidos indirectament,"Servicios de intermediación financiera medidos indirectamente, nominal",Anual,,
817,"Industria manufacturera, nominal","Industria manufacturera, nominal",Anual,,
828,"Producto Interno Bruto y Gasto a precios de mercado, nominal","Producto Interno Bruto y Gasto a precios de mercado, nominal",Anual,,
829,"Gasto de consumo final, nominal","Gasto de consumo final, nominal",Anual,,
830,"Gasto de consumo final de los hogares, nominal","Gasto de consumo final de los hogares, nominal",Anual,,
831,"Gasto de consumo final del Gobierno General, nominal","Gasto de consumo final del Gobierno General, nominal",Anual,,
2682,"Gasto de consumo final de los hogares, nominal","Gasto de consumo final de los hogares, nominal",Anual,,
2683,"Gasto de consumo final del Gobierno General, nominal","Gasto de consumo final del Gobierno General, nominal",Anual,,
2756,"Gasto de consumo final de los hogares, nominal","Gasto de consumo final de los hogares, nominal",Anual,,
2757,"Gasto de consumo final del Gobierno General, nominal","Gasto de consumo final del Gobierno General, nominal",Anual,,
832,"Formación bruta de capital, nominal","Formación bruta de capital, nominal",Anual,,
833,"Formación bruta de capital fijo, nominal","Formación bruta de capital fijo, nominal",Anual,,
834,"Variación de existencias, nominal","Variación de existencias, nominal",Anual,,
2685,"Formación bruta de capital fijo, nominal","Formación bruta de capital fijo, nominal",Anual,,
2686,"Variación de existencias, nominal","Variación de existencias, nominal",Anual,,
2759,"Formación bruta de capital fijo, nominal","Formación bruta de capital fijo, nominal",Anual,,
835,"Exportaciones de bienes y servicios, nominal","Exportaciones de bienes y servicios, nominal",Anual,,
836,"Exportaciones de bienes FOB, nominal","Exportaciones de bienes FOB, nominal",Anual,,
837,"Exportaciones de servicios, nominal","Exportaciones de servicios, nominal",Anual,,
2688,"Exportaciones de bienes FOB, nominal","Exportaciones de bienes FOB, nominal",Anual,,
2689,"Exportaciones de servicios, nominal","Exportaciones de servicios, nominal",Anual,,
2762,"Exportaciones de bienes FOB, nominal","Exportaciones de bienes FOB, nominal",Anual,,
2763,"Exportaciones de servicios, nominal","Exportaciones de servicios, nominal",Anual,,
838,"Importaciones de bienes y servicios, nominal","Importaciones de bienes y servicios, nominal",Anual,,
839,"Importaciones de bienes FOB, nominal","Importaciones de bienes FOB, nominal",Anual,,
840,"Importaciones de servicios, nominal","Importaciones de servicios, nominal",Anual,,
2691,"Importaciones de bienes FOB, nominal","Importaciones de bienes FOB, nominal",Anual,,
2692,"Importaciones de servicios, nominal","Importaciones de servicios, nominal",Anual,,
2765,"Importaciones de bienes FOB, nominal","Importaciones de bienes FOB, nominal",Anual,,
2766,"Importaciones de servicios, nominal","Importaciones de servicios, nominal",Anual,,
2681,"Gasto de consumo final, nominal","Gasto de consumo final, nominal",Anual,,
2687,"Exportaciones de bienes y servicios, nominal","Exportaciones de bienes y servicios, nominal",Anual,,
2690,"Importaciones de bienes y servicios, nominal","Importaciones de bienes y servicios, nominal",Anual,,
2753,"Gasto de consumo final, nominal","Gasto de consumo final, nominal",Anual,,
2761,"Exportaciones de bienes y servicios, nominal","Exportaciones de bienes y servicios, nominal",Anual,,
2764,"Importaciones de bienes y servicios, nominal","Importaciones de bienes y servicios, nominal",Anual,,
842,"Ingreso interno bruto, real.","Ingreso interno bruto, real.",Anual,,
841,"Ganancia (+) o pérdida (-) de intercambio, resultado variac.","Ganancia (+) o pérdida (-) de intercambio, resultado variac.",Anual,,
845,"Ingreso nacional bruto, real","Ingreso nacional bruto, real",Anual,,
843,"Ingresos primarios recibidos del exterior, real","Ingresos primarios recibidos del exterior, real",Anual,,
844,"Ingresos primarios pagados al exterior, real","Ingresos primarios pagados al exterior, real",Anual,,
22555,Ingreso nacional bruto per capita en colones,Ingreso nacional bruto per capita en colones,Anual,,
22556,Ingreso nacional bruto per capita en dólares,Ingreso nacional bruto per capita en dólares,Anual,,
848,"Ingreso nacional disponible bruto, real","Ingreso nacional disponible bruto, real",Anual,,
846,"Transferencias corrientes recibidas del resto del mundo, rea","Transferencias corrientes recibidas del resto del mundo, real",Anual,,
847,"Transferencias corrientes pagadas al resto del mundo, real","Transferencias corrientes pagadas al resto del mundo, real",Anual,,
22553,Ingreso nacional disponible brutob Per cápita constantes,Ingreso nacional bruto Per cápita en colones de 1991,Anual,,
22554,Ingreso nacional disponible bruto Per cápita en dólares,Ingreso nacional disponible bruto Per cápita en dólares,Anual,,
853,"Ingreso nacional bruto, nominal","Ingreso nacional bruto, nominal",Anual,,
849,Remuneración de los asalariados recibida del resto del mundo,"Remuneración de los asalariados recibida del resto del mundo, nominal",Anual,,
850,"Remuneración de los asalariados pagada al resto del mundo, n","Remuneración de los asalariados pagada al resto del mundo, nominal",Anual,,
851,"Rentas de la propiedad recibidas del resto del mundo, nomina","Rentas de la propiedad recibidas del resto del mundo, nominal",Anual,,
852,"Rentas de la propiedad pagadas al resto del mundo, nominal","Rentas de la propiedad pagadas al resto del mundo, nominal",Anual,,
864,Ingreso nacional bruto percápita,Ingreso nacional bruto percápita,Anual,,
19462,Ingreso nacional bruto percápita,Ingreso nacional bruto percápita,Anual,,
855,"Ingreso nacional neto, nominal","Ingreso nacional neto, nominal",Anual,,
854,"Consumo de capital fijo, nominal","Consumo de capital fijo, nominal",Anual,,
858,"Ingreso nacional disponible neto, nominal","Ingreso nacional disponible neto, nominal",Anual,,
856,"Transferencias corrientes recibidas del resto del mundo, nom","Transferencias corrientes recibidas del resto del mundo, nominal",Anual,,
857,"Transferencias corrientes pagadas al resto del mundo, nomina","Transferencias corrientes pagadas al resto del mundo, nominal",Anual,,
859,"Ahorro neto, nominal","Ahorro neto, nominal",Anual,,
862,"Préstamos (+) o endeudamiento (-) neto de la Nación, nominal","Préstamos (+) o endeudamiento (-) neto de la Nación, nominal",Anual,,
860,"Transferencias de capital recibidas del resto del mundo, nom","Transferencias de capital recibidas del resto del mundo, nominal",Anual,,
861,"Transferencias de capital pagadas al resto del mundo, nomina","Transferencias de capital pagadas al resto del mundo, nominal",Anual,,
2791,"Consumo de capital fijo, nominal","Consumo de capital fijo, nominal",Anual,,
863,Ingreso nacional disponible bruto percápita,Ingreso nacional disponible bruto percápita,Anual,,
867,Tipo de Cambio promedio de Cuentas Nacionales,Tipo de Cambio promedio de Cuentas Nacionales,Anual,,
868,"Producto Interno Bruto a precios de mercado, real","Producto Interno Bruto a precios de mercado, real",Trimestral,,
869,"Impuestos menos subvenciones sobre los productos, real","Impuestos menos subvenciones sobre los productos, real",Trimestral,,
19584,"Impuestos menos subvenciones sobre los productos, real","Impuestos menos subvenciones sobre los productos, real",Trimestral,,
19692,"Impuestos menos subvenciones sobre los productos, real","Impuestos menos subvenciones sobre los productos, real",Trimestral,,
19694,"Impuestos menos subvenciones sobre los productos, real","Impuestos menos subvenciones sobre los productos, real",Trimestral,,
872,"Producto Interno Bruto a precios básicos, real","Producto Interno Bruto a precios básicos, real",Trimestral,,
873,"Agricultura, silvicultura y pesca, real","Agricultura, silvicultura y pesca, real",Trimestral,,
875,"Industria manufacturera, real","Industria manufacturera, real",Trimestral,,
876,"Construcción, real","Construcción, real",Trimestral,,
878,"Comercio, restaurantes y hoteles, real","Comercio, restaurantes y hoteles, real",Trimestral,,
879,"Transporte, almacenaje y comunicaciones, real","Transporte, almacenaje y comunicaciones, real",Trimestral,,
22195,Resto de Industrias,Resto de Industrias,Trimestral,,
874,"Extracción de minas y canteras, real","Extracción de minas y canteras, real",Trimestral,,
877,"Electricidad y agua, real","Electricidad y agua, real",Trimestral,,
880,"Servicios financieros y seguros, real","Servicios financieros y seguros, real",Trimestral,,
881,"Actividades inmobiliarias, real","Actividades inmobiliarias, real",Trimestral,,
882,"Otros servicios prestados a empresas, real","Otros servicios prestados a empresas, real",Trimestral,,
883,"Servicios de administración pública, real","Servicios de administración pública, real",Trimestral,,
884,"Servicios comunales, sociales y personales, real","Servicios comunales, sociales y personales, real",Trimestral,,
885,Servicios de intermediación financiera medidos indirectament,"Servicios de intermediación financiera medidos indirectamente, real",Trimestral,,
886,"Producto Interno Bruto y Gasto a precios de mercado, real","Producto Interno Bruto y Gasto a precios de mercado, real",Trimestral,,
893,"Exportaciones de bienes y servicios, real","Exportaciones de bienes y servicios, real",Trimestral,,
894,"Exportaciones de bienes FOB, real","Exportaciones de bienes FOB, real",Trimestral,,
895,"Exportaciones de servicios, real","Exportaciones de servicios, real",Trimestral,,
19551,"Exportaciones de bienes FOB, real porcentaje de variación in","Exportaciones de bienes FOB, real porcentaje de variación interanual",Trimestral,,
19552,"Exportaciones de bienes FOB, real porcentaje de variación in","Exportaciones de bienes FOB, real porcentaje de variación interanual",Trimestral,,
19553,"Exportaciones de bienes FOB, real porcentaje de variación in","Exportaciones de bienes FOB, real porcentaje de variación interanual",Trimestral,,
19554,"Exportaciones de servicios, real vi","Exportaciones de servicios, real vi",Trimestral,,
19555,"Exportaciones de servicios, real vi","Exportaciones de servicios, real vi",Trimestral,,
19556,"Exportaciones de servicios, real vi","Exportaciones de servicios, real vi",Trimestral,,
896,"Importaciones de bienes y servicios, real","Importaciones de bienes y servicios, real",Trimestral,,
897,"Importaciones de bienes FOB, real","Importaciones de bienes FOB, real",Trimestral,,
898,"Importaciones de servicios, real","Importaciones de servicios, real",Trimestral,,
19557,"Importaciones de bienes FOB, real, pvi","Importaciones de bienes FOB, real",Trimestral,,
19558,"Importaciones de bienes FOB, real, pvi","Importaciones de bienes FOB, real",Trimestral,,
19559,"Importaciones de bienes FOB, real, pvi","Importaciones de bienes FOB, real",Trimestral,,
19560,"Importaciones de servicios, real, pvi","Importaciones de servicios, real",Trimestral,,
19561,"Importaciones de servicios, real, pvi","Importaciones de servicios, real",Trimestral,,
19695,"Importaciones de servicios, real, pai","Importaciones de servicios, real",Trimestral,,
887,"Gasto de consumo final, real","Gasto de consumo final, real",Trimestral,,
888,"Gasto de consumo final de los hogares, real","Gasto de consumo final de los hogares, real",Trimestral,,
889,"Gasto de consumo final del Gobierno General, real","Gasto de consumo final del Gobierno General, real",Trimestral,,
890,"Formación bruta de capital, real","Formación bruta de capital, real",Trimestral,,
892,"Variación de existencias, real","Variación de existencias, real",Trimestral,,
891,"Formación bruta de capital fijo, real","Formación bruta de capital fijo, real",Trimestral,,
899,"Producto Interno Bruto y Gasto a precios de mercado, nominal","Producto Interno Bruto y Gasto a precios de mercado, nominal",Trimestral,,
907,"Exportaciones de bienes y servicios, nominal","Exportaciones de bienes y servicios, nominal",Trimestral,,
908,"Exportaciones de bienes FOB, nominal","Exportaciones de bienes FOB, nominal",Trimestral,,
909,"Exportaciones de servicios, nominal","Exportaciones de servicios, nominal",Trimestral,,
19562,"Exportaciones de bienes FOB, nominal, pvi","Exportaciones de bienes FOB, nominal",Trimestral,,
19563,"Exportaciones de bienes FOB, nominal, pvi","Exportaciones de bienes FOB, nominal",Trimestral,,
19564,"Exportaciones de bienes FOB, nominal, pvi","Exportaciones de bienes FOB, nominal",Trimestral,,
19565,"Exportaciones de servicios, nominal, pvi","Exportaciones de servicios, nominal",Trimestral,,
19566,"Exportaciones de servicios, nominal, pvi","Exportaciones de servicios, nominal",Trimestral,,
19567,"Exportaciones de servicios, nominal, pvi","Exportaciones de servicios, nominal",Trimestral,,
910,"Importaciones de bienes y servicios, nominal","Importaciones de bienes y servicios, nominal",Trimestral,,
911,"Importaciones de bienes FOB, nominal","Importaciones de bienes FOB, nominal",Trimestral,,
912,"Importaciones de servicios, nominal","Importaciones de servicios, nominal",Trimestral,,
19568,"Importaciones de bienes FOB, nominal, pvi","Importaciones de bienes FOB, nominal",Trimestral,,
19569,"Importaciones de bienes FOB, nominal, pvi","Importaciones de bienes FOB, nominal",Trimestral,,
19570,"Importaciones de bienes FOB, nominal, pvi","Importaciones de bienes FOB, nominal",Trimestral,,
19571,"Importaciones de servicios, nominal, pvi","Importaciones de servicios, nominal",Trimestral,,
19572,"Importaciones de servicios, nominal, pvi","Importaciones de servicios, nominal",Trimestral,,
19573,"Importaciones de servicios, nominal, pvi","Importaciones de servicios, nominal",Trimestral,,
901,"Gasto de consumo final, nominal","Gasto de consumo final, nominal",Trimestral,,
